GRIDCODE,CVENTMUN,Ft
69495,12046,0.107761436
69496,12046,0.051270979
69520,20466,0.115638925
69520,20466,0.027646576
69531,20516,0.011301379
69532,20516,0.066098775
69532,20516,0.12523952
69533,20516,0.02300808
69533,20516,0.010173282
69533,20516,0.03914201
69537,20229,0.07635125
69538,20229,0.278239216
69539,20277,0.055069454
69539,20229,0.032439556
69540,20277,0.050525276
69541,20277,0.009887286
69541,20429,0.073969157
69543,20429,0.088243508
69544,20277,0.026864957
69544,20155,0.14579877
69544,20429,0.061070297
69552,20028,0.235359792
69552,20080,0.102907079
69553,20028,0.107237047
69555,20015,0.298109878
